time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-14 00:00:00+00:00,,,9,8
2024-07-15 00:00:00+00:00,1.0,1.0,41,21
2024-07-16 00:00:00+00:00,3.0,1.0,90,17
2024-07-17 00:00:00+00:00,1.0,1.0,26,17
2024-07-18 00:00:00+00:00,2.0,2.0,21,14
2024-07-19 00:00:00+00:00,,,26,13
2024-07-20 00:00:00+00:00,6.0,1.0,11,9
2024-07-21 00:00:00+00:00,,,10,9
2024-07-22 00:00:00+00:00,,,34,23
2024-07-23 00:00:00+00:00,2.0,2.0,42,17
2024-07-24 00:00:00+00:00,2.0,2.0,47,17
2024-07-25 00:00:00+00:00,3.0,1.0,24,14
2024-07-26 00:00:00+00:00,,,68,18
2024-07-27 00:00:00+00:00,1.0,1.0,14,6
