time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,38,13,7,6
2026-05-07 00:00:00+00:00,25,12,6,5
2026-05-08 00:00:00+00:00,30,20,13,8
2026-05-09 00:00:00+00:00,45,15,20,7
2026-05-10 00:00:00+00:00,32,11,2,2
2026-05-11 00:00:00+00:00,22,10,26,11
2026-05-12 00:00:00+00:00,47,16,19,9
2026-05-13 00:00:00+00:00,40,13,10,10
2026-05-14 00:00:00+00:00,22,8,8,8
2026-05-15 00:00:00+00:00,13,10,31,13
2026-05-16 00:00:00+00:00,12,8,12,6
2026-05-17 00:00:00+00:00,39,11,10,9
2026-05-18 00:00:00+00:00,15,9,18,15
2026-05-19 00:00:00+00:00,29,11,35,10
