time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-11 00:00:00+00:00,6,3,28,17
2025-04-12 00:00:00+00:00,4,3,26,9
2025-04-13 00:00:00+00:00,6,2,10,8
2025-04-14 00:00:00+00:00,5,3,52,24
2025-04-15 00:00:00+00:00,3,3,34,23
2025-04-16 00:00:00+00:00,7,4,16,16
2025-04-17 00:00:00+00:00,3,3,32,21
2025-04-18 00:00:00+00:00,6,5,20,7
2025-04-19 00:00:00+00:00,2,2,6,4
2025-04-20 00:00:00+00:00,10,7,17,11
2025-04-21 00:00:00+00:00,9,6,23,16
2025-04-22 00:00:00+00:00,5,3,20,14
2025-04-23 00:00:00+00:00,5,2,28,17
2025-04-24 00:00:00+00:00,2,2,27,19
