time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-02 00:00:00+00:00,1.0,1.0,28,12
2024-09-03 00:00:00+00:00,1.0,1.0,36,22
2024-09-04 00:00:00+00:00,3.0,2.0,41,17
2024-09-05 00:00:00+00:00,4.0,2.0,70,19
2024-09-06 00:00:00+00:00,3.0,2.0,46,15
2024-09-07 00:00:00+00:00,2.0,1.0,21,11
2024-09-08 00:00:00+00:00,1.0,1.0,57,14
2024-09-09 00:00:00+00:00,6.0,3.0,59,26
2024-09-10 00:00:00+00:00,,,30,11
2024-09-11 00:00:00+00:00,3.0,2.0,34,15
2024-09-12 00:00:00+00:00,2.0,1.0,58,12
2024-09-13 00:00:00+00:00,1.0,1.0,34,24
2024-09-14 00:00:00+00:00,1.0,1.0,4,2
2024-09-15 00:00:00+00:00,1.0,1.0,12,8
