time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,27,14,3,3
2026-08-09 00:00:00+00:00,25,13,17,4
2026-08-10 00:00:00+00:00,42,21,18,14
2026-08-11 00:00:00+00:00,39,19,24,13
2026-08-12 00:00:00+00:00,27,16,22,14
2026-08-13 00:00:00+00:00,50,27,16,11
2026-08-14 00:00:00+00:00,36,26,15,7
2026-08-15 00:00:00+00:00,19,5,26,22
2026-08-16 00:00:00+00:00,7,6,10,10
2026-08-17 00:00:00+00:00,19,10,18,7
2026-08-18 00:00:00+00:00,17,12,11,9
2026-08-19 00:00:00+00:00,4,4,14,11
2026-08-20 00:00:00+00:00,13,12,16,12
2026-08-21 00:00:00+00:00,20,17,17,14
