time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-31 00:00:00+00:00,4,4,57,20
2024-02-01 00:00:00+00:00,2,2,51,17
2024-02-02 00:00:00+00:00,5,4,75,20
2024-02-03 00:00:00+00:00,5,5,78,12
2024-02-04 00:00:00+00:00,4,4,36,11
2024-02-05 00:00:00+00:00,4,4,30,16
2024-02-06 00:00:00+00:00,4,4,49,21
2024-02-07 00:00:00+00:00,3,3,56,13
2024-02-08 00:00:00+00:00,3,3,43,15
2024-02-09 00:00:00+00:00,3,3,59,18
2024-02-10 00:00:00+00:00,3,3,11,8
2024-02-11 00:00:00+00:00,4,4,24,5
2024-02-12 00:00:00+00:00,4,4,81,21
2024-02-13 00:00:00+00:00,3,3,82,18
