time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-27 00:00:00+00:00,7,4,74,24
2025-05-28 00:00:00+00:00,6,3,46,25
2025-05-29 00:00:00+00:00,26,3,29,24
2025-05-30 00:00:00+00:00,49,4,37,20
2025-05-31 00:00:00+00:00,34,6,10,7
2025-06-01 00:00:00+00:00,8,3,12,7
2025-06-02 00:00:00+00:00,2,2,28,16
2025-06-03 00:00:00+00:00,3,2,33,20
2025-06-04 00:00:00+00:00,2,2,37,24
2025-06-05 00:00:00+00:00,2,2,13,13
2025-06-06 00:00:00+00:00,7,6,35,15
2025-06-07 00:00:00+00:00,8,5,13,10
2025-06-08 00:00:00+00:00,7,5,6,5
2025-06-09 00:00:00+00:00,2,2,23,17
