time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-07 00:00:00+00:00,4,3,28,21
2025-05-08 00:00:00+00:00,9,5,83,30
2025-05-09 00:00:00+00:00,6,5,47,24
2025-05-10 00:00:00+00:00,9,6,11,9
2025-05-11 00:00:00+00:00,3,3,35,12
2025-05-12 00:00:00+00:00,7,5,52,37
2025-05-13 00:00:00+00:00,10,6,37,30
2025-05-14 00:00:00+00:00,10,7,34,23
2025-05-15 00:00:00+00:00,8,4,47,21
2025-05-16 00:00:00+00:00,2,2,21,20
2025-05-17 00:00:00+00:00,7,4,5,4
2025-05-18 00:00:00+00:00,5,3,26,7
2025-05-19 00:00:00+00:00,13,7,41,17
2025-05-20 00:00:00+00:00,4,4,33,20
