time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,3,2,10,10
2025-10-13 00:00:00+00:00,7,6,47,25
2025-10-14 00:00:00+00:00,21,5,22,21
2025-10-15 00:00:00+00:00,3,3,38,27
2025-10-16 00:00:00+00:00,5,5,34,26
2025-10-17 00:00:00+00:00,5,5,32,21
2025-10-18 00:00:00+00:00,3,2,1,1
2025-10-19 00:00:00+00:00,16,4,15,10
2025-10-20 00:00:00+00:00,17,6,27,24
2025-10-21 00:00:00+00:00,16,6,22,17
2025-10-22 00:00:00+00:00,9,3,39,28
2025-10-23 00:00:00+00:00,14,9,28,21
2025-10-24 00:00:00+00:00,23,11,28,17
2025-10-25 00:00:00+00:00,2,2,24,11
